
                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 1 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
Process_Inspector2.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Process_Inspector2.Utilization              .11972     (Insuf)    .00000     1.0000     .00000    
Process_Inspector1.NumberBusy               .16570     (Insuf)    .00000     1.0000     .00000    
Process_Inspector1.NumberScheduled          .33333     (Insuf)    .00000     1.0000     .00000    
Process_Inspector1.Utilization              .16570     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler3.NumberBusy            .19345     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler3.NumberScheduled       .33333     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler3.Utilization           .19345     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler2.NumberBusy            .20833     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler2.NumberScheduled       .33333     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler2.Utilization           .20833     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler1.NumberBusy            .22817     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler1.NumberScheduled       .33333     (Insuf)    .00000     1.0000     .00000    
Controller_Assembler1.Utilization           .22817     (Insuf)    .00000     1.0000     .00000    
Worker_Assemble.NumberBusy                  2.3095     (Corr)     .00000     8.0000     .00000    
Worker_Assemble.NumberScheduled             8.0000     (Insuf)    8.0000     8.0000     8.0000    
Worker_Assemble.Utilization                 .28869     (Corr)     .00000     1.0000     .00000    
Worker_Process.NumberBusy                   1.6133     (Insuf)    .00000     6.0000     .00000    
Worker_Process.NumberScheduled              6.0000     (Insuf)    6.0000     6.0000     6.0000    
Worker_Process.Utilization                  .26889     (Insuf)    .00000     1.0000     .00000    
Process_Inspection.Queue.NumberInQueue      .44072     (Insuf)    .00000     7.0000     .00000    
InnerHole_Drilling.Queue.NumberInQueue      .22926     (Insuf)    .00000     4.0000     .00000    
Finishing2.Queue.NumberInQueue              .58760     (Insuf)    .00000     9.0000     .00000    
Finishing1.Queue.NumberInQueue              .65984     (Insuf)    .00000     7.0000     .00000    
Load.Queue.NumberInQueue                    .37421     (Insuf)    .00000     5.0000     .00000    
Packaging.Queue.NumberInQueue               .32717     (Insuf)    .00000     3.0000     .00000    
Machining_Input.Queue.NumberInQueue         .93750     (Insuf)    .00000     20.000     .00000    
HousingCover_Assemble.Queue.NumberInQueue   1.3867     (Insuf)    .00000     4.0000     .00000    
Grinding.Queue.NumberInQueue                .36794     (Insuf)    .00000     7.0000     .00000    
Tapping.Queue.NumberInQueue                 .91401     (Insuf)    .00000     4.0000     2.0000    
Final_Inspection.Queue.NumberInQueue        3.5715     (Insuf)    .00000     10.000     10.000    
Controller_Assemble.Queue.NumberInQueue     .68034     (Insuf)    .00000     5.0000     .00000    

                                             OUTPUTS

Identifier                                   Value
_____________________________________________________________

Material.NumberIn                           140.00    
Material.NumberOut                          128.00    
Input_Machine2.NumberSeized                 70.000    
Input_Machine2.ScheduledUtilization         .31250    
Input_Machine1.NumberSeized                 70.000    
Input_Machine1.ScheduledUtilization         .31250    
Loader1.NumberSeized                        66.000    
Loader1.ScheduledUtilization                .46832    
Loader2.NumberSeized                        59.000    
Loader2.ScheduledUtilization                .43916    
Hole_Driller1.NumberSeized                  77.000    
Hole_Driller1.ScheduledUtilization          .45833    
Hole_Driller2.NumberSeized                  50.000    
Hole_Driller2.ScheduledUtilization          .29762    
Final_Inspector1.NumberSeized               117.00    
Final_Inspector1.ScheduledUtilization       .52232    
Finishing_Machine2_2.NumberSeized           59.000    
Finishing_Machine2_2.ScheduledUtilization   .30351    
Finishing_Machine2_1.NumberSeized           84.000    
Finishing_Machine2_1.ScheduledUtilization   .42105    
Finishing_Machine1_2.NumberSeized           62.000    
Finishing_Machine1_2.ScheduledUtilization   .31861    
Finishing_Machine1_1.NumberSeized           81.000    
Finishing_Machine1_1.ScheduledUtilization   .41932    
Tapper1.NumberSeized                        127.00    
Tapper1.ScheduledUtilization                .37798    
HousingCover_Assembler3.NumberSeized        37.000    
HousingCover_Assembler3.ScheduledUtilizati  .66071    
HousingCover_Assembler2.NumberSeized        45.000    
HousingCover_Assembler2.ScheduledUtilizati  .80357    
HousingCover_Assembler1.NumberSeized        45.000    
HousingCover_Assembler1.ScheduledUtilizati  .80357    
Packaging_Machine2.NumberSeized             47.000    
Packaging_Machine2.ScheduledUtilization     .48958    
Packaging_Machine1.NumberSeized             60.000    
Packaging_Machine1.ScheduledUtilization     .62500    
Grinding_Machine3.NumberSeized              21.000    
Grinding_Machine3.ScheduledUtilization      .10300    
Grinding_Machine2.NumberSeized              54.000    
Grinding_Machine2.ScheduledUtilization      .27178    
Grinding_Machine1.NumberSeized              66.000    
Grinding_Machine1.ScheduledUtilization      .31829    
Process_Inspector3.NumberSeized             37.000    
Process_Inspector3.ScheduledUtilization     .29579    
Process_Inspector2.NumberSeized             49.000    
Process_Inspector2.ScheduledUtilization     .35915    
Process_Inspector1.NumberSeized             57.000    
Process_Inspector1.ScheduledUtilization     .49709    
Controller_Assembler3.NumberSeized          39.000    
Controller_Assembler3.ScheduledUtilization  .58036    
Controller_Assembler2.NumberSeized          42.000    
Controller_Assembler2.ScheduledUtilization  .62500    
Controller_Assembler1.NumberSeized          46.000    
Controller_Assembler1.ScheduledUtilization  .68452    
Worker_Assemble.NumberSeized                732.00    
Worker_Assemble.ScheduledUtilization        .28869    
Worker_Process.NumberSeized                 835.00    
Worker_Process.ScheduledUtilization         .26889    
System.NumberOut                            128.00    

Beginning replication 3 of 5

                                      ARENA Simulation Results
                                   Windows User - License: STUDENT

                                  Summary for Replication 3 of 5

Project: Unnamed Project                                             Run execution date :12/ 1/2025
Analyst: Eunseo                                                      Model revision date:12/ 1/2025

Replication ended at time      : 10080.0 Minutes (Monday, August 11, 2025, 17:40:02)
Base Time Units: Minutes

                                           TALLY VARIABLES

